id,data_type,expression,time_expression,note
1,flow,"round(greatest(0, 
    0.33993 * g8::Mohawk_Springfield_merge::flow 
  + 0.53763 * rq::14188800::flow 
  + 0.20360 * uP::Wiley_Foster_merge::flow))",g8::Mohawk_Springfield_merge::flow rq::14188800::flow uP::Wiley_Foster_merge::flow,
2,flow,"round(greatest(0, 0.30 * q::14306500::flow))",q::14306500::flow,
3,flow,"round(greatest(0, 0.25 * oN::14305500::flow))",oN::14305500::flow,
4,flow,"round(greatest(0, (0.194065 * q::14306500::flow) - 9.517))",q::14306500::flow,
5,flow,"round(greatest(0, fl::14147500::flow / 3.))",fl::14147500::flow,
6,flow,"round(greatest(0, (0.1106834 * q::14306500::flow) - 1.403748))",q::14306500::flow,
7,flow,"round(greatest(0, ((((oN::14305500::flow * 0.06928698) - (q::14306500::flow * 0.02067001)) - (ea::Luckiamute_Suver_merge::flow * 0.02842121)) + (oV::Suislaw_Mapleton_merge::flow * 0.01157006)) - 12.16238))",oN::14305500::flow q::14306500::flow ea::Luckiamute_Suver_merge::flow oV::Suislaw_Mapleton_merge::flow,
8,flow,"round(greatest(0, ((((7y::Deschutes_Moody_merge::flow - 7E::14092500::flow) * 0.08176241) + (tW::14097100::flow * 0.67373819)) + (oK::14092750::flow * 1.29898500)) - 88.55061144))",7y::Deschutes_Moody_merge::flow 7E::14092500::flow tW::14097100::flow oK::14092750::flow,
9,flow,"round(greatest(0, hd::Hood_Tucker_merge::flow - wf::WFHO3::flow))",hd::Hood_Tucker_merge::flow wf::WFHO3::flow,EF+MF Hood = Tucker - WF Hood
10,flow,"round(greatest(0, fa::Fall_Creek_Inflow::inflow - wb::14150800::flow), 1)",fa::Fall_Creek_Inflow::inflow wb::14150800::flow,Fall Creek above Winberry: total reservoir inflow minus Winberry tributary
11,flow,al::Applegate_Lake::inflow,al::Applegate_Lake::inflow,MF Applegate flow = Applegate Lake inflow (single tributary at reservoir)
12,flow,"round(greatest(0, jo::Johnson_Yellopine_merge::flow + st::EFSF_Stibnite::flow))",jo::Johnson_Yellopine_merge::flow st::EFSF_Stibnite::flow,EF of SF Salmon at 5349 put-in ≈ Johnson Cr + Stibnite EFSF headwater
13,flow,"round(greatest(0, sm::Suislaw_Mapleton_merge::flow - lc::14307605::flow))",sm::Suislaw_Mapleton_merge::flow lc::14307605::flow,Siuslaw above Lake Creek = Siuslaw at Mapleton − Lake Creek at Swisshome
14,flow,"round(greatest(0, 0.8285 * rp::14330000::flow - 292.72))",rp::14330000::flow,"Rogue above Prospect (14328000 retired 2024-06-09) estimated from 14330000 via linear fit. n=8599 daily means / ~23.5 yr overlap (non-contiguous 1985-01-01..2024-06-09), r2=0.9575, RMSE=117 cfs. Fit is stable across 1970-2024 sub-windows (slope 0.83-0.84, r2 0.96)."
