id,name,bank_full,flood_stage,location,latitude,longitude,station_id,cbtt_id,geos_id,nws_id,nwsli_id,snotel_id,usgs_id,rating_id,elevation,drainage_area,huc,allow_negative_flow,river,display_name,sort_name,state
1,14306500,,,Tidewater,44.3859538093346,-123.831778038249,14306500,TIDO,,,TIDO3,,14306500,1,48.16,334.0,171002050403,0,Alsea,Alsea at Tidewater,alsea|9|009952|000334,OR
2,Applegate_Wilderville_merge,,,Wilderville,42.3540058135007,-123.406727581687,14369500,ARWOX,,,ARWO3,,14369500,2,947.18,698.0,171003090603,0,Applegate,Applegate at Wilderville,applegate|9|009053|000698,OR
3,14142800,,,Troutdale,45.519444444444446,-122.38927777777778,14142800,,,,,,14142800,,188.89,11.1,170800010703,0,Beaver Creek,Beaver Creek at Troutdale,beaver creek|9|009811|000011,OR
4,Big_Butte_Creek_merge,,,McLeod,42.6512371979792,-122.69142881941,14337500,MLBO,,,MLBO3,,14337500,3,1525.95,245.0,171003070408,0,Big Butte Creek,Big Butte Creek at McLeod,big butte creek|9|008474|000245,OR
5,Blue_Tidbits_merge,,,Tidbits Creek,44.2179043377954,-122.265067571502,14161100,BRTO,,,BRTO3,,14161100,4,1385.0,45.8,170900040402,0,Blue,Blue at Tidbits Creek,blue|9|008615|000046,OR
6,Blue_dam_merge,,,Blue River,44.162348189733,-122.333119210082,14162200,BLUO,,,BLUO3,,14162200,,1357.0,87.7,170900040403,0,Blue,Blue at Blue River,blue|9|008643|000088,OR
7,14316495,,,Toketee Falls,43.3034543030611,-122.530323695907,14316495,,,,,,14316495,,1640.0,30.4,171003010801,0,Boulder Creek,Boulder Creek at Toketee Falls,boulder creek|9|008360|000030,OR
8,Breitenbush_Detroit_merge,,,Detroit,44.7526217947758,-122.128964795941,14179000,BRBO,,,BRBO3,,14179000,5,1573.95,108.0,170900050105,0,Breitenbush,Breitenbush at Detroit,breitenbush|9|008426|000108,OR
9,13168500,,,Hot Spring,42.7711111111111,-115.720277777778,13168500,HOTI,,,,,13168500,,2598.5,2686.0,170501021703,0,Bruneau,Bruneau at Hot Spring,bruneau|9|007402|002686,ID
10,14140000,,,Bull Run (river Only),45.4373,-122.179655555556,14140000,RUNO,,,,,14140000,,567.9,107.0,170800010506,0,Bull Run,Bull Run at Bull Run (river Only),bull run|9|009432|000107,OR
11,14201500,,,Monitor,45.1015099127356,-122.746201894857,14201500,MOTO,,,,,14201500,,155.0,58.7,170900090203,0,Butte Creek,Butte Creek at Monitor,butte creek|9|009845|000059,OR
12,Calapooia_Holly_calc,,,At Holley (estimated),44.351236,-122.787307,,,,,,,,,527.58,105.0,170900030304,0,Calapooia,Calapooia at Holley (calc),calapooia|9|009466|999999,OR
13,14400000,,,Brookings,42.1234427753382,-124.187310699326,14400000,,,,,,14400000,,49.16,271.0,171003120109,0,Chetco,Chetco at Brookings,chetco|9|009951|000271,OR
14,Clackamas_Three_Lynx_merge,,,Three Lynx Creek,45.1248432050366,-122.073413673786,14209500,TLYO,,,TLYO3,,14209500,6,1120.0,479.0,170900110401,0,Clackamas,Clackamas at Three Lynx Creek,clackamas|9|008880|000479,OR
15,Clackamas_Estacada_merge,,,Estacada,45.2998434588304,-122.353974629983,14210000,ESTO,,,ESTO3,,14210000,7,286.93,671.0,170900110603,0,Clackamas,Clackamas at Estacada,clackamas|9|009713|000671,OR
16,Coquille_Powers_merge,,,Powers,42.8914990429098,-124.070652117504,14325000,POWO,,,POWO3,,14325000,8,220.0,169.0,171003050207,0,South Fork Coquille,South Fork Coquille at Powers,coquille|0south|009780|000169,OR
17,Cow_Azalea_merge,,,Azalea,42.8248428595987,-123.178949165529,14309000,AZAO,,,AZAO3,,14309000,9,1694.32,78.0,171003020701,0,Cow Creek,Cow Creek at Azalea,cow creek|9|008306|000078,OR
18,Cow_Riddle_merge,,,Riddle,42.9234502146334,-123.428957073995,14310000,RDLO,,,RDLO3,,14310000,10,682.6,456.0,171003020905,0,Cow Creek,Cow Creek at Riddle,cow creek|9|009317|000456,OR
19,WF_Cow_Glendale_merge,,,Glendale,42.8040035554472,-123.610907136202,14309500,GLNO,,,GLNO3,,14309500,,1018.0,86.9,171003020804,0,West Fork Cow Creek,West Fork Cow Creek at Glendale,cow creek|0west|008982|000087,OR
20,14087400,,,"Opal Springs, near Culver",44.4923407376854,-121.298377020145,14087400,CROO,,,,,14087400,,1953.6,4557.0,170703051102,0,Crooked,"Crooked at Opal Springs, near Culver",crooked|9|008046|004557,OR
21,14087380,,,"Osborne Canyon, nr Opal City",44.426897243787,-121.232872766268,14087380,,,,,,14087380,,2190.0,4520.0,170703051101,0,Crooked,"Crooked at Osborne Canyon, nr Opal City",crooked|9|007810|004520,OR
22,Deschutes_Moody_merge,,,Moody,45.6220678034004,-120.905620323184,14103000,MODO,,,MODO3,,14103000,11,167.54,10500.0,170703061205,0,Deschutes,Deschutes at Moody,deschutes|9|009832|010500,OR
23,14076500,,,Culver,44.498729327928,-121.321155782003,14076500,,,,,,14076500,,1980.0,2705.0,170703011104,0,Deschutes,Deschutes at Culver,deschutes|9|008020|002705,OR
24,Deschutes_Benham_merge,,,Benham Falls,43.9301171483632,-121.41197463288,14064500,BENO,,,BENO3,,14064500,,4142.0,1759.0,170703010402,0,Deschutes,Deschutes at Benham Falls,deschutes|9|005858|001759,OR
