code,level,name,states
090400,6,Upper South Saskatchewan River,"CN,MT"
100200,6,Missouri Headwaters,"ID,MT,WY"
10020001,8,Red Rock,"ID,MT"
10020002,8,Beaverhead,MT
10020003,8,Ruby,MT
10020004,8,Big Hole,"ID,MT"
10020005,8,Jefferson,MT
10020006,8,Boulder,MT
10020007,8,Madison,"ID,MT,WY"
10020008,8,Gallatin,"MT,WY"
100301,6,Upper Missouri,MT
10030101,8,Upper Missouri,MT
10030102,8,Upper Missouri-Dearborn,MT
10030103,8,Smith,MT
10030104,8,Sun,MT
10030105,8,Belt,MT
100302,6,Marias,MT
10030201,8,Two Medicine,MT
10030202,8,Cut Bank,MT
10030203,8,Marias,MT
10030204,8,Willow,MT
10030205,8,Teton,MT
100401,6,Fort Peck Lake,MT
100402,6,Musselshell,MT
100500,6,Milk,"CN,MT"
100700,6,Upper Yellowstone,"MT,WY"
140401,6,Upper Green,"CO,UT,WY"
140600,6,Lower Green,"CO,UT"
140700,6,Upper Colorado-Dirty Devil,"AZ,UT"
150100,6,Lower Colorado-Lake Mead,"AZ,NV,UT"
160101,6,Upper Bear,"ID,UT,WY"
16010101,8,Upper Bear,"UT,WY"
16010102,8,Central Bear,"ID,UT,WY"
160102,6,Lower Bear,"ID,UT"
16010201,8,Bear Lake,"ID,UT"
16010202,8,Middle Bear,"ID,UT"
16010203,8,Little Bear-Logan,"ID,UT"
16010204,8,Lower Bear-Malad,"ID,UT"
160201,6,Weber,"UT,WY"
16020101,8,Upper Weber,"UT,WY"
16020102,8,Lower Weber,UT
160202,6,Jordan,UT
16020201,8,Utah Lake,UT
16020202,8,Spanish Fork,UT
16020203,8,Provo,UT
16020204,8,Jordan,UT
160203,6,Great Salt Lake,"ID,NV,UT"
16020301,8,Hamlin-Snake Valleys,"NV,UT"
16020302,8,Pine Valley,UT
16020303,8,Tule Valley,UT
16020304,8,Rush-Tooele Valleys,UT
16020305,8,Skull Valley,UT
16020306,8,Southern Great Salt Lake Desert,"NV,UT"
16020307,8,"Pilot-Thousand Springs, Nevada, Utah","NV,UT"
16020308,8,Northern Great Salt Lake Desert,"NV,UT"
16020309,8,Curlew Valley,"ID,UT"
16020310,8,Great Salt Lake,UT
160300,6,Escalante Desert-Sevier Lake,"NV,UT"
16030001,8,Upper Sevier,UT
16030002,8,East Fork Sevier,UT
16030003,8,Middle Sevier,UT
16030004,8,San Pitch,UT
16030005,8,Lower Sevier,UT
16030006,8,Escalante Desert,"NV,UT"
16030007,8,Beaver Bottoms-Upper Beaver,UT
16030008,8,Lower Beaver,UT
16030009,8,Sevier Lake,UT
160401,6,Humboldt,NV
16040101,8,Upper Humboldt,NV
16040102,8,North Fork Humboldt,NV
16040103,8,South Fork Humboldt,NV
16040104,8,Pine,NV
16040105,8,Middle Humboldt,NV
16040106,8,Rock,NV
16040107,8,Reese,NV
16040108,8,Lower Humboldt,NV
16040109,8,Little Humboldt,NV
160402,6,Black Rock Desert,"CA,NV,OR"
16040201,8,Upper Quinn,"NV,OR"
16040202,8,Lower Quinn,NV
16040203,8,Smoke Creek Desert,"CA,NV"
16040204,8,Massacre Lake,"CA,NV"
16040205,8,Thousand-Virgin,"NV,OR"
160501,6,Truckee,"CA,NV"
160502,6,Carson,"CA,NV"
160600,6,Central Nevada Desert Basins,"CA,NV"
170101,6,Kootenai,"CN,ID,MT"
17010101,8,Middle Kootenai,"CN,ID,MT"
17010102,8,Fisher,MT
17010103,8,Yaak,"CN,ID,MT"
17010104,8,Lower Kootenai,"CN,ID,MT"
17010105,8,Moyie,"CN,ID,MT"
17010106,8,Elk,"CN,MT"
17010107,8,Headwaters Kootenai River,CN
17010108,8,Upper Kootenai River,CN
17010109,8,Duncan River,CN
17010110,8,Slocan River,CN
170102,6,Pend Oreille,"CN,ID,MT,WA"
17010201,8,Upper Clark Fork,MT
17010202,8,Flint-Rock,MT
17010203,8,Blackfoot,MT
17010204,8,Middle Clark Fork,"ID,MT"
17010205,8,Bitterroot,"ID,MT"
17010206,8,North Fork Flathead,"CN,MT"
17010207,8,Middle Fork Flathead,MT
17010208,8,Flathead Lake,MT
17010209,8,South Fork Flathead,MT
17010210,8,Stillwater,MT
17010211,8,Swan,MT
17010212,8,Lower Flathead,MT
17010213,8,Lower Clark Fork,"ID,MT"
17010214,8,Pend Oreille Lake,"ID,WA"
17010215,8,Priest,"CN,ID,WA"
17010216,8,Pend Oreille,"CN,ID,WA"
170103,6,Spokane,"ID,MT,WA"
17010301,8,Upper Coeur d'Alene,"ID,MT"
17010302,8,South Fork Coeur d'Alene,"ID,MT"
17010303,8,Coeur d'Alene Lake,"ID,WA"
17010304,8,St. Joe,"ID,MT"
17010305,8,Upper Spokane,"ID,WA"
17010306,8,Hangman,"ID,WA"
17010307,8,Lower Spokane,WA
17010308,8,Little Spokane,"ID,WA"
170200,6,Upper Columbia,"CN,WA"
17020001,8,Franklin D. Roosevelt Lake,"CN,WA"
17020002,8,Kettle,"CN,WA"
17020003,8,Colville,WA
17020004,8,Sanpoil,WA
17020005,8,Chief Joseph,WA
17020006,8,Okanogan,"CN,WA"
17020007,8,Similkameen,"CN,WA"
17020008,8,Methow,WA
17020009,8,Lake Chelan,WA
17020010,8,Upper Columbia-Entiat,WA
17020011,8,Wenatchee,WA
17020012,8,Moses Coulee,WA
17020013,8,Upper Crab,WA
17020014,8,Banks Lake,WA
17020015,8,Lower Crab,WA
17020016,8,Upper Columbia-Priest Rapids,WA
17020017,8,Headwaters Columbia River,CN
17020018,8,Canoe River-McNaughton Lake,CN
17020019,8,McNaughton Lake-Columbia River,CN
17020020,8,Goldstream River-Columbia River,CN
17020021,8,Upper Arrow Lake-Columbia River,CN
170300,6,Yakima,WA
17030001,8,Upper Yakima,WA
17030002,8,Naches,WA
17030003,8,Lower Yakima,WA
170401,6,Snake Headwaters,"ID,WY"
17040101,8,Snake Headwaters,WY
17040102,8,Gros Ventre,WY
17040103,8,Greys-Hobock,"ID,WY"
17040104,8,Palisades,"ID,WY"
17040105,8,Salt,"ID,WY"
170402,6,Upper Snake,"ID,MT,NV,UT,WY"
17040201,8,Idaho Falls,ID
17040202,8,Upper Henrys,"ID,MT,WY"
17040203,8,Lower Henrys,"ID,WY"
17040204,8,Teton,"ID,WY"
17040205,8,Willow,ID
17040206,8,American Falls,ID
17040207,8,Blackfoot,ID
17040208,8,Portneuf,ID
17040209,8,Lake Walcott,ID
17040210,8,Raft,"ID,UT"
17040211,8,Goose,"ID,NV,UT"
17040212,8,Upper Snake-Rock,ID
17040213,8,Salmon Falls,"ID,NV"
17040214,8,Beaver-Camas,"ID,MT"
17040215,8,Medicine Lodge,"ID,MT"
17040216,8,Birch,"ID,MT"
17040217,8,Little Lost,ID
17040218,8,Big Lost,ID
17040219,8,Big Wood,ID
17040220,8,Camas,ID
17040221,8,Little Wood,ID
170501,6,Middle Snake-Boise,"ID,NV,OR"
17050101,8,C.J. Strike Reservoir,ID
17050102,8,Bruneau,"ID,NV"
17050103,8,Middle Snake-Succor,"ID,OR"
17050104,8,Upper Owyhee,"ID,NV"
17050105,8,South Fork Owyhee,"ID,NV,OR"
