id,updated_at,gauge_id,name,display_name,sort_name,nature,description,difficulties,basin,basin_area,elevation,elevation_lost,length,gradient,features,latitude,longitude,latitude_start,longitude_start,latitude_end,longitude_end,no_show,notes,optimal_flow,region,remoteness,scenery,season,watershed_type,aw_id,river,max_gradient,huc,map_only,no_flow_range
1,2026-04-22 23:33:10,1,TIDO,Alsea,Alsea ag 04,Pool Drop,Mill Creek Park to Tidewater,,Alsea,,257.0,253.0,35.5,7.1,,44.378132,-123.779292,44.384765879835015,-123.62198855141042,44.411013661005406,-123.91116839460861,0,,800.0,North Coast,Not Remote,rural,Nov-Apr,,1483,Alsea River,,171002050402,0,0
2,2026-04-22 23:33:10,2,Applegate River,Applegate,Applegate 0 c,,Applegate Dam to Rogue River,II+,Applegate,225.0,1745.0,892.0,46.7,19.1,,42.271276,-123.204716,42.066506,-123.109095,42.429185,-123.449651,0,,,,,,,,11614,Applegate River,,171003090201,0,0
3,2026-04-22 23:33:10,5,BRTO,Blue River,Blue a 0,Pool Drop,,Technical,Mckenzie,,1824.0,478.0,5.4,88.5,Technical,44.234786,-122.246656,44.259602,-122.217003,44.204498,-122.262001,0,,400.0,Upper Willamette,Not Remote,forest/logging,Nov-Apr,,1486,Blue River,,170900040402,0,0
4,2026-04-22 23:33:10,6,BLUO,Blue River,Blue b aa 0,,,II-III,Mckenzie,87.7,1082.0,54.0,1.3,41.5,,44.159724,-122.332794,44.168561873108274,-122.33099911014148,44.15401700767669,-122.34290639092683,0,,,Upper Willamette,,,,,11728,Blue River,,170900040403,0,0
5,2026-04-22 23:33:10,93,Brice,Brice Creek,Brice 0,Continous,Parker Falls to Champion Creek,Technical,Coast Fork Willamette,,2756.0,836.0,4.1,203.9,old growth.20 falls,43.637683,-122.618149,43.622309,-122.586405,43.639575,-122.655518,0,,400.0,Upper Willamette,Not Remote,forest/waterfall,Nov-Apr,,2726,Brice Creek,,170900020202,0,0
6,2026-04-22 23:33:10,9,HOTI,Bruneau,Bruneau aa 0,"Rock gardens, narrow canyon",Indian Hot Springs to South of Bruneau,,Bruneau,2630.0,3691.0,1078.0,40.6,26.6,,42.560055,-115.63414,42.338139,-115.646603,42.768713,-115.723972,0,,1200.0,,,,Apr-Jun,,533,Bruneau,,170501021105,0,0
7,2026-04-22 23:33:10,10,RUNO,Bull Run,Bull Run e 0,Pool Drop,,,Lower Columbia-Sandy,107.0,392.0,322.0,10.04,32.1,,45.461455,-122.271885,45.425079748683316,-122.21681793063176,45.49137207420514,-122.30736623388944,0,,900.0,Lower Willamette,Somewhat Remote,canyon,Jan-Dec,,1488,Sandy River,,170800010506,0,0
8,2026-04-22 23:33:10,13,14400000,Chetco,Chetco ag 03,Pool Drop,Upper Summer Bridge to Loeb,,Chetco,271.0,111.0,73.0,8.8,8.3,Redwoods.crystal clear water,42.140911,-124.163853,42.186117,-124.134586,42.112125,-124.185131,0,,500.0,Southern Coast,Not Remote,forest/logging,Jan-Dec,,,Chetco,,171003120109,0,0
9,2026-04-22 23:33:10,15,ESTO,Clackamas,Clackamas 08 River Mill to Willamette,Continous,River Mill Dam to Willamette,,Clackamas,671.0,307.0,298.0,22.4,13.3,great canoe run,45.383143,-122.446221,45.299594409737246,-122.35160443262798,45.372452,-122.604332,0,,1000.0,Lower Willamette,Not Remote,residential,Jan-Dec,,1495,Clackamas,,170900110603,0,0
10,2026-04-22 23:33:10,16,POWO,SF Coquille,Coquille cd 06,Continous,Powers to Baker Creek,,Coquille,,243.0,111.0,6.07,18.3,,42.891796,-124.069571,42.86791375829108,-124.05489766606667,42.906999771729346,-124.1114327667646,0,,600.0,Southern Coast,Not Remote,rural,Nov-Apr,,1500,SF Coquille,,171003050205,0,0
