id,reach_id,name,low,low_data_type,high,high_data_type
2,72,I II,500.0,flow,3000.0,flow
6,425,IV V,250.0,flow,900.0,flow
13,526,IV V,1800.0,flow,2700.0,flow
14,543,III,500.0,flow,1500.0,flow
15,543,III-IV,500.0,flow,1800.0,flow
30,828,II,700.0,flow,7000.0,flow
42,1107,II,600.0,flow,2000.0,flow
59,1305,II-III,500.0,flow,3000.0,flow
60,1306,III+(IV),400.0,flow,2000.0,flow
70,1766,III IV,250.0,flow,800.0,flow
71,1767,II,850.0,flow,5000.0,flow
72,1768,II III,1500.0,flow,7000.0,flow
73,1769,II IV,2000.0,flow,8000.0,flow
74,1770,I,600.0,flow,5000.0,flow
91,2210,III,1000.0,flow,3000.0,flow
92,2211,IV V,1000.0,flow,3000.0,flow
102,2469,I VI,50.0,flow,1000.0,flow
103,2532,IV,,flow,,flow
105,2617,I II,300.0,flow,1500.0,flow
106,2657,II,600.0,flow,3500.0,flow
107,2658,I,900.0,flow,3000.0,flow
109,2660,II,900.0,flow,3000.0,flow
113,2665,II,900.0,flow,3000.0,flow
114,2712,III IV,1300.0,flow,2000.0,flow
118,2723,II III,1000.0,flow,3000.0,flow
123,2824,II III,250.0,flow,1200.0,flow
124,2829,III IV,1400.0,flow,3000.0,flow
125,2830,I,1000.0,flow,2000.0,flow
127,2832,III IV,250.0,flow,1500.0,flow
128,2833,II,1000.0,flow,2000.0,flow
131,3011,I II,400.0,flow,2000.0,flow
142,3212,IV V,750.0,flow,10000.0,flow
151,3290,II-III,600.0,flow,4000.0,flow
152,3290,III,600.0,flow,13000.0,flow
156,3294,III,1000.0,flow,4500.0,flow
160,3652,III IV,400.0,flow,2000.0,flow
162,3655,IV,500.0,flow,1000.0,flow
164,3658,V,400.0,flow,800.0,flow
167,3767,III IV,600.0,flow,4000.0,flow
183,3882,I,700.0,flow,3000.0,flow
198,3943,I,1000.0,flow,5000.0,flow
210,4039,II III,700.0,flow,3000.0,flow
216,4114,I II,1000.0,flow,5000.0,flow
227,4409,IV,400.0,flow,1000.0,flow
236,4689,III IV,1500.0,flow,2000.0,flow
237,4690,II III,1500.0,flow,3000.0,flow
238,4691,II III,800.0,flow,5000.0,flow
244,4700,I II,1500.0,flow,4000.0,flow
251,4912,IV V,800.0,flow,3000.0,flow
261,4986,II III,1000.0,flow,5000.0,flow
262,4987,I II,1000.0,flow,2500.0,flow
264,4995,I II,2000.0,flow,20000.0,flow
282,109,II+,300.0,flow,2500.0,flow
381,1220,III-IV+,500.0,flow,1000.0,flow
402,1407,II-III,200.0,flow,10000.0,flow
409,1540,V,200.0,flow,400.0,flow
439,2042,IV-V,900.0,flow,2000.0,flow
442,2111,II(V),700.0,flow,6000.0,flow
447,2209,I-II,500.0,flow,50000.0,flow
448,2212,III,700.0,flow,8000.0,flow
449,2213,II,500.0,flow,100000.0,flow
450,2214,II,500.0,flow,10000.0,flow
455,2401,III,800.0,flow,4000.0,flow
477,2783,IV,500.0,flow,1500.0,flow
486,3000,I-II,140.0,flow,700.0,flow
539,3650,II,1000.0,flow,3000.0,flow
540,3657,II-IV,800.0,flow,3000.0,flow
541,3676,II-III,300.0,flow,1500.0,flow
546,3766,II,600.0,flow,8000.0,flow
548,3779,II,400.0,flow,6000.0,flow
579,4062,V,300.0,flow,800.0,flow
632,4679,III+,400.0,flow,3000.0,flow
662,4981,IV,300.0,flow,1500.0,flow
