reach_id,guidebook_id,page,run,url
72,2,50,19,
72,3,60,19,
72,4,53,17,
72,7,15,1,
72,9,26-27,,
72,11,,,https://www.dreamflows.com/xlist-or.php#Site232
109,7,415,,
425,2,118,76,
425,3,151,82,
425,4,161,87,
425,7,415,,
425,9,57,,
425,10,,,https://www.oregonkayaking.net/rivers/blue/blue.html
425,11,,,https://www.dreamflows.com/xlist-or.php#Site235
526,2,101,59,
526,3,126,63,
526,4,377,,
526,7,24,3.1,
526,10,,,https://www.oregonkayaking.net/creeks/bricel/bricel.html
543,5,220,,
567,2,185,135,
567,3,237,145,
567,4,244,144,
567,7,26,4,
567,11,,,https://www.dreamflows.com/xlist-or.php#Site765
665,3,173,100,
665,10,,,https://www.oregonkayaking.net/creeks/canyoncreek/canyoncreek.html
791,2,64,29,
791,4,80,32,
791,7,46,9,
791,9,37,,
828,3,232,143,
1035,2,60,26,
1035,4,72,27,
1035,7,71,15,
1086,2,77,41,
1107,3,177,103,
1125,2,223,165,
1125,3,287,181,
1125,4,289,170,
1125,7,79,17,
1125,9,94,,
1125,11,,,https://www.dreamflows.com/xlist-or.php#Site521
1130,2,222,164,
1130,3,285,180,
1130,4,288,169,
1130,7,79,17,
1130,9,94,,
1130,10,,,https://www.oregonkayaking.net/rivers/crooked/crooked.html
1130,11,,,https://www.dreamflows.com/xlist-or.php#Site521
1201,10,,,https://www.oregonkayaking.net/creeks/deer/deer.html
1220,2,237,179,
1220,3,304,195,
1220,4,307,183,
1220,7,90,19,
1220,11,,,https://www.dreamflows.com/xlist-or.php#Site520
1305,3,61,20,
1306,3,56,17,
1395,3,250,156,
1407,10,,,https://www.oregonkayaking.net/creeks/elk/elk.html
1407,11,,,https://www.dreamflows.com/xlist-or.php#Site581
1486,3,142,76,
1766,2,257,188,
1766,3,334,209,
1766,7,124,28,
1766,11,,,https://www.dreamflows.com/reachMap/index.php?rid=107&num=1
1767,2,258,189,
1767,3,335,210,
1767,4,344,200,
1767,7,124,28,
1767,11,,,https://www.dreamflows.com/reachMap/index.php?rid=107&num=2
1768,2,258,190,
1768,3,337,211,
1768,4,345,201,
1768,7,124,28,
1768,11,,,https://www.dreamflows.com/reachMap/index.php?rid=107&num=3
1769,2,261,192,
1769,3,339,213,
1769,4,348,203,
1769,7,124,28,
1769,11,,107,
1770,3,338,212,
1770,4,347,202,
1770,7,124,28,
1770,11,,107,
1975,3,251,157,
2042,3,378,,
2111,3,326,205,
2111,4,334,195,
2114,4,324,190,
2210,3,310,198,
2210,11,,,https://www.dreamflows.com/xlist-or.php#Site751
2211,3,311,199,
2211,11,,,https://www.dreamflows.com/xlist-or.php#Site519
2219,3,257,162,
2337,3,131,65,
2428,6,258,,
2428,10,,,https://www.oregonkayaking.net/creeks/little_klick/little_klick.html
2448,5,36,,
2469,2,127,84,
2475,10,,,https://www.oregonkayaking.net/creeks/lookout/lookout.html
2532,3,372,,
2533,2,289,217,
2617,3,162,91,
2657,2,121,78,
2657,3,154,85,
2657,4,164,90 and 91,
2657,7,213,49.2,
2657,9,55,,
2657,11,,,https://www.dreamflows.com/xlist-or.php#Site143
2658,2,125,82,
2658,3,158,89,
2658,4,170,94,
2658,7,215,49.3,
2658,9,59,,
2660,2,124,81,
2660,3,157,88,
2660,4,168,93,
2660,7,215,49.3,
2660,9,58,,
2662,2,117,75,
