id,reach_id,level,low,low_data_type,high,high_data_type
4,72,low,,flow,500.0,flow
5,72,okay,500.0,flow,3000.0,flow
6,72,high,3000.0,flow,,flow
16,425,low,,flow,250.0,flow
17,425,okay,250.0,flow,900.0,flow
18,425,high,900.0,flow,,flow
33,543,low,,flow,500.0,flow
34,543,okay,500.0,flow,1800.0,flow
35,543,high,1800.0,flow,,flow
69,791,low,,flow,300.0,flow
70,791,okay,300.0,flow,3000.0,flow
71,791,high,3000.0,flow,,flow
78,828,low,,flow,700.0,flow
79,828,okay,700.0,flow,7000.0,flow
80,828,high,7000.0,flow,,flow
108,1086,low,,flow,300.0,flow
109,1086,okay,300.0,flow,1000.0,flow
110,1086,high,1000.0,flow,,flow
114,1107,low,,flow,600.0,flow
115,1107,okay,600.0,flow,2000.0,flow
116,1107,high,2000.0,flow,,flow
129,5454,low,,flow,3000.0,flow
130,5454,okay,3000.0,flow,8000.0,flow
131,5454,high,8000.0,flow,,flow
168,1285,low,,flow,275.0,flow
169,1285,okay,275.0,flow,800.0,flow
170,1285,high,800.0,flow,,flow
192,1486,low,,flow,500.0,flow
193,1486,okay,500.0,flow,3000.0,flow
194,1486,high,3000.0,flow,,flow
201,1766,low,,flow,250.0,flow
202,1766,okay,250.0,flow,800.0,flow
203,1766,high,800.0,flow,,flow
204,1767,low,,flow,850.0,flow
205,1767,okay,850.0,flow,5000.0,flow
206,1767,high,5000.0,flow,,flow
207,1768,low,,flow,1500.0,flow
208,1768,okay,1500.0,flow,7000.0,flow
209,1768,high,7000.0,flow,,flow
210,1769,low,,flow,2000.0,flow
211,1769,okay,2000.0,flow,8000.0,flow
212,1769,high,8000.0,flow,,flow
213,1770,low,,flow,600.0,flow
214,1770,okay,600.0,flow,5000.0,flow
215,1770,high,5000.0,flow,,flow
243,2042,low,,flow,900.0,flow
244,2042,okay,900.0,flow,2000.0,flow
245,2042,high,2000.0,flow,,flow
267,2210,low,,flow,1000.0,flow
268,2210,okay,1000.0,flow,3000.0,flow
269,2210,high,3000.0,flow,,flow
270,2211,low,,flow,1000.0,flow
271,2211,okay,1000.0,flow,3000.0,flow
272,2211,high,3000.0,flow,,flow
273,2219,low,,flow,500.0,flow
274,2219,okay,500.0,flow,3500.0,flow
275,2219,high,3500.0,flow,,flow
294,2448,low,,gauge,1.5,gauge
295,2448,okay,1.5,gauge,10.0,gauge
